AD	 n. 公元；广告（ad）
Iceland	 n. 冰岛（欧洲岛名，在大西洋北部，近北极圈）
India	 n.  印度
India	 n. 印度（南亚国家）
Indian	 adj. 印度的；印第安人的；印第安语的 n. 印度人；印第安人；印第安语
Indicate	 v. 表明；指出；预示；象征
Internet	 n.  互联网， 因特网
Ireland	 n. 爱尔兰
Irish	 adj. 爱尔兰的；爱尔兰人的 n. 爱尔兰人；爱尔兰语；爱尔兰
Italian	 adj. 意大利的；意大利文化的；意大利语的 n. 意大利人；意大利语
Italy	 n. 意大利（欧洲南部国家）
January	 n.  一月
January	 n. 一月
Japan	 n.  日本
Japan	 n. 日本（东亚国家名）
Japanese	 adj. 日本（人）的；日语的 n. 日本人；日语
Jew	 n.  犹太人； 犹太教徒
July	 n.  七月
June	 n.  六月
June	 n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）
London	 n.  伦敦
London	 n. 伦敦
Lost	 adj. 失去的；丧失的；迷惑的 v. 遗失（lose的过去分词）；失败
March	 n. 三月
Mars	 n.  火星； 战神
May	 n. 五月
Mexican	 adj. 墨西哥的；墨西哥人的 n. 墨西哥人；墨西哥语
Mexico	 n. 墨西哥
Miss	 n. 女士，小姐，年轻未婚女子
Mom	 n. 妈妈
Monday	 n.  星期一
Monday	 n. 星期一
Moscow	 n. 莫斯科（俄罗斯首都）
Moslem	 adj. 穆斯林的；伊斯兰教的；回教的 n. 穆斯林；穆罕默德信徒；伊斯兰
Mosquito	 n. 蚊子
Mr.	 n.  先生
November	 n.  十一月
November	 n. 十一月
OK	 adj. 好的；不错的 adv. 行；很好 int. 好；可以 v. 对…表示同意 n. 同意
OK	 adv&int.  不错， 很好； 对吧
Oceania	 n. 大洋洲
October	 n.  十月
October	 n. [天] 十月
Ottawa	 n. 渥太华（加拿大首都）
PM	 abbr. （拉）下午（Post Meridiem，等于afternoon）；调相（Phase Modulation）
Pacific	 adj. 太平洋的 n. 太平洋
Paris	 n.  巴黎
Paris	 n. 巴黎（法国首都）；帕里斯（特洛伊王子）
Russia	 n.  俄国， 俄罗斯
Russia	 n. 俄罗斯
Russian	 adj. 俄国的；俄语的 n. 俄语；俄国人
Saturday	 n.  星期六
Saturday	 n. 星期六
Scotland	 n. 苏格兰
Scottish	 adj. 苏格兰的；苏格兰人的；苏格兰语的 n. 苏格兰人；苏格兰语
Scratch	 n. 擦伤；抓痕；刮擦声；乱写 adj. 打草稿用的；凑合的；碰巧的 v. 抓；刮；挖出；乱涂
September	 n.  九月
September	 n. 九月
Shanghai	 n. 上海（中国东部港市）
Spain	 n. 西班牙
Spanish	 adj. 西班牙的；西班牙人的；西班牙语的 n. 西班牙语；西班牙人
Sunday	 n.  星期日
Sunday	 n. 星期日；礼拜日
Swiss	 adj. 瑞士的；瑞士人的；瑞士风格的 n. 瑞士人；瑞士腔调
Switzerland	 n. 瑞士（欧洲国家）
TRUE	 adj. 真实的；正确的 adv. 真实地；准确地 n. 真实；准确 v. 装准
TV	 abbr. 电视（television）
Thursday	 n.  星期四
Thursday	 n. 星期四
Tibet	 n. 西藏（中国一自治区）
Tibetan	 adj. 西藏的；藏族的 n. 藏语；西藏人
Tokyo	 n. 东京（日本首都）
Tuesday	 n.  星期二
Tuesday	 n. 星期二
UK	 abbr. 联合王国（United Kingdom） n. 英国
UN	 abbr. 联合国（United Nations）；硝酸铀铣（Uranyl Nitrate）
Wednesday	 n.  星期三
Wednesday	 n. 星期三
Yang	 n.  阳
Yin	 n.  阴
a	 indefinite article. 一，一个〔用于未曾提及或对方不知道的人或物的名称前〕
a	 n. 字母A；第一流的；学业成绩达最高标准的评价符号 abbr. [物]安（ampere）
abandon	 n. 放任；狂热 v. 遗弃；放弃
ability	 n.  能力， 本领； 才能， 才智
ability	 n. 能力，能耐；才能
able	 adj.  能够…的， 得以…的； 有才干的， 能力出
able	 adj. 能；[经管] 有能力的；能干的 n. (Able)人名；(伊朗)阿布勒；(英)埃布尔
abnormal	 adj. 反常的，不规则的；变态的
aboard	 adv. 在飞机上；[船] 在船上；在火车上 prep. 在…上
abolish	 v. 废除，废止；取消，革除
abortion	 n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
about	 prep.  关于， 对于； 在…周围， 在…各处
about	 prep. 关于；大约 adj. 在附近的；四处走动的；在起作用的 adv. 大约；周围；到处 n. 大致；粗枝大叶；不拘小节的人
above	 adv.  在上面， 在顶上； (在级别、 权力、 数目 prep. 在…上方；多于，超过
above	 prep. 超过；在……上面；在……之上 adv. 在上面；在上文 adj. 上文的 n. 上文
abroad	 adv.  到国外； 广为流传 adj. 在国外；广泛四散
abroad	 adv. 在国外；到海外 adj. 往国外的 n. 海外；异国
abrupt	 adj. 生硬的；突然的；唐突的；陡峭的
absence	 n. 没有；缺乏；缺席；不注意
absent	 adj.  缺席的， 不在场的； 不存在的； 心不在焉的
absent	 adj. 缺席的；缺少的；心不在焉的；茫然的 v. 使缺席
absolute	 adj. 绝对的；完全的；专制的 n. 绝对；绝对事物
absorb	 v. 吸收；吸引；承受；理解；使…全神贯注
abstract	 n. 摘要；抽象；抽象的概念 adj. 抽象的；深奥的 v. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
absurd	 adj. 荒谬的；可笑的 n. 荒诞；荒诞作品
abundant	 adj. 丰富的；充裕的；盛产
abuse	 n. 滥用；虐待；辱骂；弊端；恶习，陋习 v. 滥用；虐待；辱骂
academic	 adj. 学术的；理论的；学院的 n. 大学生，大学教师；学者
academy	 n. 学院；研究院；学会；专科院校
accelerate	 v. 使……加快；使……增速
accent	 n. 口音；重音；强调；特点；重音符号 v. 强调；重读；带…口音讲话
accept	 v. 接受；承认；承担；承兑；容纳
accept	 vt.  接受； 承认； 相信
access	 v. 使用；存取；接近 n. 进入；使用权；通路
accessible	 adj. 易接近的；可进入的；可理解的
accessory	 n.  附件， 零件， 配件； 装饰品
accident	 n.  意外遭遇， 事故
accident	 n. 事故；意外；[法] 意外事件；机遇
accommodation	 n. 住处，膳宿；调节；和解；预订铺位
accompany	 v. 陪伴，伴随；伴奏
accomplish	 v. 完成；实现；达到
account	 n. 账户；解释；账目，账单；理由；描述 v. 解释；导致；报账
accountant	 n. 会计师；会计人员
accumulate	 v. 累积；积聚
accuracy	 n. [数] 精确度，准确性
accuse	 v. 控告，指控；谴责；归咎于
accustomed	 adj. 习惯的；通常的；独有的 v. 使习惯于（accustom的过去分词）
ache	 v. 疼痛；渴望 n. 疼痛
ache	 v. 痛，疼痛；渴望 n.  疼痛
achieve	 v.  实现， 完成； 获得， 达到
achieve	 v. 取得；获得；实现；成功
achievement	 n. 成就；完成；达到；成绩
acid	 n. 酸；<俚>迷幻药 adj. 酸的；讽刺的；刻薄的
acknowledge	 v. 承认；答谢；报偿；告知已收到
acquaintance	 n. 熟人；相识；了解；知道
acquire	 v. 获得；取得；学到；捕获
acquisition	 n. 获得物，获得；收购
acre	 n. 土地，地产；英亩
across	 prep.  穿过， 越过， 横过； 在…对面； 遍及
across	 prep. 穿过；横穿 adv. 横过；在对面
act	 v.  行动， 做事； 表现； 起作用； 扮演， 表演
act	 v. 扮演；装作，举动像 n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
action	 n. 行动；活动；功能；战斗；情节
active	 adj.  活跃的； 积极的； 主动的； 起作用的
active	 adj. 积极的；活跃的；主动的；有效的；现役的 n. 主动语态；积极分子
activity	 n.  活动， 行动； 活跃， 活力
activity	 n. 活动；行动；活跃
actor	 n. 男演员；行动者；作用物
actress	 n. 女演员
actual	 adj. 真实的，实际的；现行的，目前的
acute	 adj. 严重的，[医] 急性的；敏锐的；激烈的；尖声的
adapt	 v. 使适应；改编
adaptation	 n. 适应；改编；改编本，改写本
add	 v.  添加， 增加； 把…加起来， 计算…的总和
add	 v. 加；增加；加起来；做加法 n. 加法，加法运算
addicted	 adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的 v. 使…上瘾（addict的过去分词）
addition	 n. 添加；[数] 加法；增加物
address	 n.  地址
address	 v. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理 n. 地址；演讲；致辞；说话的技巧；称呼
adequate	 adj. 充足的；适当的；胜任的
adj.	 abbr. 调整（adjacent）
adjust	 v. 调整，使…适合；校准
adjustment	 n. 调整，调节；调节器
administration	 n. 管理；行政；实施；行政机构
admirable	 adj. 令人钦佩的；极好的；值得赞扬的
admire	 v. 钦佩；赞美
admission	 n. 承认；入场费；进入许可；坦白；录用
admit	 v. 承认；准许进入；可容纳
adolescence	 n. 青春期
adolescent	 adj. 青春期的；未成熟的 n. 青少年
adopt	 v. 采取；接受；收养；正式通过
adore	 v. 崇拜；爱慕；喜爱；极喜欢 n. (Adore)人名；(法)阿多尔
adult	 adj.  发育成熟的； 成熟的， 成人的 n. 成年人；成年动物
adult	 adj. 成年的；成熟的 n. 成年人
advance	 n. 发展；前进；增长；预付款 v. 提出；预付；使……前进；将……提前 adj. 预先的；先行的
advantage	 n.  优点， 好处， 优势
advantage	 n. 优势；利益；有利条件 v. 获利
adventure	 n. 冒险；冒险精神；投机活动 v. 冒险；大胆说出
adverb	 n.  副词
advertise	 v. 通知；为…做广告；使突出
advertisement	 n.  广告， 公告； 广告活动， 宣传
advertisement	 n. 广告，宣传
advice	 n.  劝告， 忠告， 意见， 建议
advice	 n. 建议；忠告；劝告；通知
advise	 v. 建议；劝告，忠告；通知；警告
advocate	 v. 提倡，主张，拥护 n. 提倡者；支持者；律师
aeroplane	 n. 飞机（等于airplane）
affair	 n. 事情；事务；私事；（尤指关系不长久的）风流韵事
affect	 v. 影响；感染；感动；假装 n. 情感；引起感情的因素
affection	 n. 喜爱，感情；影响；感染
afford	 v.  买得起， 负担得起； 提供， 给予
afford	 v. 给予，提供；买得起 n. (Afford)人名；(英)阿福德
afraid	 adj.  害怕的， 恐惧的； 犯愁的
afraid	 adj. 害怕的；恐怕；担心的
after	 adv&prep&conj.  在…以后， 在…后面
after	 adv. 后来，以后 prep. 在……之后 conj. 在……之后 adj. 以后的
afternoon	 n.  下午， 午后
afternoon	 n. 午后，下午
afterward	 adv. 以后，后来
again	 adv.  再一次， 又一次； 回到原处， 复原； 再则， 而且
again	 adv. 又，此外；再一次；再说；增加 n. （英、保）阿盖恩
against	 prep.  逆， 反， 违反； 对…不利； 倚在， 紧靠着， 紧贴着； 和…比， 和…对照
against	 prep. 反对，违反；靠；倚；防备 adj. 不利的；对立的
age	 n.  年龄； 老年； 时代， 时期； 很长的一段时间
age	 n. 年龄；时代；寿命，使用年限；阶段 v. 成熟；变老
agency	 n. 代理，中介；代理处，经销处
agenda	 n. 议程；日常工作事项；日程表
agent	 n.  代理人， 代理商， 经纪人
agent	 n. 代理人，代理商；药剂；特工 vt. 由…作中介；由…代理 adj. 代理的
aggression	 n. 侵略；进攻；侵犯；侵害
aggressive	 adj.  侵犯的， 侵略的， 挑衅的； 敢作敢为的， 有进取心的
aggressive	 adj. 侵略性的；好斗的；有进取心的；有闯劲的
ago	 adv.  以前
ago	 adv. 以前，以往 adj. 以前的；过去的 n. (Ago)人名；(英、西、意、塞、瑞典)阿戈
agree	 v.  同意， 赞同； 相符， 一致
agree	 v. 同意，赞成；承认；约定，商定
agreement	 n. 协议；同意，一致
agricultural	 adj. 农业的；农艺的
agriculture	 n. 农业；农耕；农业生产；农艺，农学
ahead	 adj. 向前；在前的；领先 adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来
aid	 n. 援助；帮助；助手；帮助者 v. 援助；帮助；有助于
aid	 v.  帮助， 救助 n. 帮助，救助；助手；辅助手段
aim	 v.  瞄准， 对准； 目的是， 旨在； 针对； 力争做到 n. 目的，目标；瞄准
aim	 v. 目的在于；引导；把…对准 n. 目的；目标；对准
air	 n.  天空； 空气， 大气； 样子， 神态
air	 n. 空气，大气；天空；样子；曲调 v. 使通风，晾干；夸耀
aircraft	 n. 飞机，航空器
airline	 n.  航空公司； 航线
airline	 n. 航空公司；航线 adj. 航线的
airmail	 n. 航空邮件
airplane	 n.  飞机
airplane	 n. 飞机
airport	 n.  机场； 航空港
airport	 n. 机场；航空站
airspace	 n. 空域；领空；空间
alarm	 n. 闹钟；警报，警告器；惊慌 v. 警告；使惊恐
album	 n.  粘贴簿； 集邮簿； 相册； 音乐专辑
album	 n. 相簿；唱片集；集邮簿；签名纪念册
alcohol	 n. 酒精，乙醇
alcoholic	 adj. 酒精的，含酒精的 n. 酒鬼，酗酒者
algebra	 n. 代数学
alien	 adj. 外国的；外星的；陌生的；格格不入的 n.  外国人； 外星人
alike	 adj. 相似的；相同的 adv. 以同样的方式；类似于
alive	 adj.  活着的， 在世的； 存在的， 在起作用的； 有活力的， 活跃的， 有生
alive	 adj. 活着的；活泼的；有生气的
all	 adj. 全部的 adv. 全然地；越发 n. 全部 pron. 全部
all	 adv.  完全地； 十分， 很 adj. 一切的，所有的；全部的，总的，整个的
allergic	 adj. 对…过敏的；对…极讨厌的
alley	 n. 小巷；小路；小径
allocate	 v. 分配；拨出；使坐落于
allow	 v.  允许， 准许， 容许； 允许…进入； 同意给； 承认
allow	 v. 允许；给予；认可
allowance	 n. 津贴，零用钱；允许；限额 v. 定量供应
almost	 adv.  几乎， 差不多
almost	 adv. 差不多，几乎
alone	 adj.  单独的， 孤独的； 单单， 仅； 独一无二的， 唯一的
alone	 adj. 独自的；单独的；孤独的 adv. 独自地；单独地
along	 adv. 一起；向前；来到 prep. 沿着；顺着
along	 adv. 向前地；一道，一起 prep.  沿着， 循着
alongside	 adv. 在旁边 prep. 在……旁边
aloud	 adv.  出声地， 大声地
aloud	 adv. 大声地；出声地
alphabet	 n. 字母表，字母系统；入门，初步
already	 adv.  早已， 已经
already	 adv. 已经，早已；先前
alright	 adv.  好， 好吧
also	 adv.  而且， 也， 此外； 同样
also	 adv. 也；而且；同样 conj. 并且；另外 n. (Also)人名；(罗)阿尔索
alternative	 adj. 供选择的；选择性的；交替的 n. 二中择一；供替代的选择
although	 conj.  虽然， 尽管； 然而
although	 conj. 尽管；虽然；但是；然而
altitude	 n. 高地；高度；[数] 顶垂线；（等级和地位等的）高级；海拔
altogether	 adv. 完全地；总共；总而言之 n. 整个；裸体
aluminium	 adj. 铝的 n. 铝
always	 adv.  总是， 无例外地； 永远， 始终， 一直
always	 adv. 永远，一直；总是；常常
am	 abbr. 调频，调谐，调幅（ amplitude modulation） v. （用于第一人称单数现在时） aux. （与v-ing连用构成现在进行时，与v-ed连用构成被动语态） n. （柬）安（人名）
am	 v.  是
amateur	 n. 爱好者；业余爱好者；外行 adj. 业余的；外行的
amaze	 v. 使吃惊
amazing	 adj.  令人惊异的
amazing	 adj. 令人惊异的 v. 使吃惊（amaze的ing形式）
ambassador	 n. 大使；代表；使节
ambiguous	 adj. 模糊不清的；引起歧义的
ambition	 n. 野心，雄心；抱负，志向 v. 追求；有…野心
ambulance	 n. [车辆][医] 救护车；战时流动医院
among	 prep.  在…之中， 在…之间
among	 prep. 在…中间；在…之中
amount	 v.  合计 n. 总额
amount	 v. 总计，合计；相当于；共计；产生…结果 n. 数量；总额，总数
ample	 adj. 丰富的；足够的；宽敞的 n. (Ample)人名；(西)安普尔
amuse	 v. 娱乐；消遣；使发笑；使愉快
amusement	 n. 消遣，娱乐；乐趣
an	 indefinite article. 一（个）〔用于以元音开头的单词前〕
analysis	 n. 分析；分解；验定
analyze	 v. 对…进行分析，分解（等于analyse）
ancestor	 n. 始祖，祖先；被继承人
anchor	 n. 锚；抛锚停泊；靠山；新闻节目主播 v. 抛锚；使固定；主持节目 adj. 末棒的；最后一棒的
ancient	 adj.  古代的， 古老的； 年老的， 看上去很老的
ancient	 adj. 古代的；古老的，过时的；年老的 n. 古代人；老人
and	 conj.  和， 与， 及； 那么， 则； 然后， 接着； 而且， 还
and	 conj. 和，与；就；而且；但是；然后 n. (And)人名；(土、瑞典)安德
anecdote	 n. 轶事；奇闻；秘史
anger	 n. 怒，愤怒；忿怒 v. 使发怒，激怒；恼火
angle	 v. 钓鱼；谋取 n. 角度，角，方面
angry	 adj.  生气的， 发怒的， 愤怒的
angry	 adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
animal	 adj.  动物的， 野兽的 n. 动物，兽，牲畜
animal	 n. 动物
ankle	 n. 踝关节，踝
anniversary	 n. 周年纪念日
announce	 v.  宣布， 声称； 预告
announce	 v. 宣布；述说；预示；播报
announcement	 n. 公告；宣告；发表；通告
annoy	 v. 骚扰；惹恼；打搅 n. 烦恼（等于annoyance）
annual	 adj. 年度的；每年的 n. 年刊，年鉴；一年生植物
another	 adj. 又一，另一；另外的；不同的 pron. 另一个；又一个 prep. 另一个；另一个人
another	 pron. 再一个，另一个 adj.  又一的， 再一个的； 另一的， 别的； 不同的
answer	 v.  回答， 答复； 解答， 解决； 作 n. 回答，答复；答案，解决办法
answer	 v. 回答；符合 n. 回答；答案；答辩
ant	 n.  蚂蚁
ant	 n. 蚂蚁
antique	 adj. 古老的，年代久远的；过时的，古董的；古风的，古式的 n. 古董，古玩；古风，古希腊和古罗马艺术风格 v. 觅购古玩
anxiety	 n. 焦虑；渴望；挂念；令人焦虑的事
anxious	 adj.  焦虑的， 发愁的， 令人焦急的； 渴望的， 急
anxious	 adj. 焦虑的；担忧的；渴望的；急切的
any	 adj. 任何的；所有的；丝毫 pron. 任何；任何一个；若干 adv. 稍微；少许 n. (Any)人名；(法、罗)阿尼
any	 pron. 无论哪个，无论哪些 adj.  任一的， 任何的； 什么， 一些； 丝毫的
anybody	 pron.  任何人； 随便哪一个人
anyhow	 adv. 总之；无论如何；不管怎样
anymore	 adv.  再， 更， 还； 目前， 现在， 今后
anyone	 pron.  任何人； 随便哪一个人
anyone	 pron. 任何人；任何一个
anything	 pron.  无论什么东西， 随便什么事情； 任何东西， 任何事情
anything	 pron. 任何事
anyway	 adv.  不管怎么说， 无论如何； 不论以何种方式， 无论从什么角度
anyway	 adv. 无论如何，不管怎样；总之
anywhere	 adv.  在什么地方， 在任何地方； 随便什么地方
anywhere	 adv. 在任何地方；无论何处 n. 任何地方
apart	 adv. 相距；与众不同地；分离着 adj. 分离的；与众不同的
apartment	 n. 公寓；房间
apologize	 v. 道歉；辩解；赔不是
apology	 n. 道歉；谢罪；辩护；勉强的替代物
apparent	 adj. 显然的；表面上的
appeal	 v. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判 n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
appear	 v.  出现， 显露， 来到； 看起来好像， 似乎； 产生， 问世； 发表
appear	 v. 出现；显得；似乎；出庭；登场
appearance	 n. 外貌，外观；出现，露面
appendix	 n. 附录；阑尾；附加物
appetite	 n. 食欲；嗜好
applaud	 v. 赞同；称赞；向…喝彩
apple	 n.  苹果， 苹果树
apple	 n. 苹果，苹果树，苹果似的东西；[美俚]炸弹，手榴弹，（棒球的）球；[美俚]人，家伙。
applicant	 n. 申请人，申请者；请求者
application	 n. 应用；申请；应用程序；敷用
apply	 v. 申请；涂，敷；应用
appoint	 v. 任命；指定；约定
appointment	 n.  约会； 约定； 任命， 委派； 职务， 职位
appointment	 n. 任命；约定；任命的职位
appreciate	 v. 欣赏；感激；领会；鉴别
appreciation	 n. 欣赏，鉴别；增值；感谢
approach	 n. 方法；途径；接近 v. 接近；着手处理
appropriate	 adj. 适当的；恰当的；合适的 v. 占用，拨出
approve	 v. 批准；赞成；为…提供证据
approximately	 adv. 大约，近似地；近于
apron	 n. 围裙；[航] 停机坪；舞台口 vt. 着围裙于；围绕
arbitrary	 adj. [数] 任意的；武断的；专制的
arch	 n. 弓形，拱形；拱门 adj. 主要的 v. 使…弯成弓形；用拱连接
architect	 n. 建筑师
architecture	 n. 建筑学；建筑风格；建筑式样；架构
are	 v.  存在， 是
are	 v. 是（be的第二人称单复数现在式） n. 公亩
area	 n.  面积； 地区， 地方； 领域， 范围
area	 n. 区域，地区；面积；范围
argue	 v.  争论， 争吵， 争辩； 提出理由证明， 主张； 说服， 劝说
argue	 v. 争论，辩论；提出理由 n. (Argue)人名；(英、法)阿格
argument	 n. 论证；论据；争吵；内容提要
arise	 v. 出现；上升；起立 n. (Arise)人名；(西)阿里塞；(日)在濑(姓)
arithmetic	 n. 算术，算法
arm	 n. 手臂；武器；袖子；装备；部门 v. 武装起来
arm	 v.  以装备； 提供， 配备； n. 臂，前肢；臂状物，扶手；
armchair	 n. 扶手椅，单人沙发 adj. 不切实际的
army	 n. 陆军，军队
around	 adv. 在周围，在附近；到处，四周；大约 prep.  在…各处， 遍及； 在…四周； 在
around	 adv. 大约；到处；在附近 prep. 四处；在…周围
arrange	 v. 安排；排列；整理
arrangement	 n. 布置；整理；准备
arrest	 v. 逮捕；阻止；吸引 n. 逮捕；监禁
arrival	 n. 到来；到达；到达者
arrive	 v.  到达， 到来； 来临； 达到， 达成
arrive	 v. 到达；成功；达成；出生 n. (Arrive)人名；(法)阿里夫
arrow	 n. 箭，箭头；箭状物；箭头记号 vt. 以箭头指示；箭一般地飞向
art	 n. 美术，艺术；技术，技艺；
art	 n. 艺术；美术；艺术品 adj. 艺术的；艺术品的 v. 是（be的变体）
article	 n.  一件； 物件， 商品； 文章， 论文； 条款， 条文， 规定； 冠词
article	 n. 文章；物品；条款；[语] 冠词 v. 订约将…收为学徒或见习生；使…受协议条款的约束
artificial	 adj. 人造的；仿造的；虚伪的；非原产地的；武断的
artist	 n.  艺术家， 画家； 能手
artist	 n. 艺术家；美术家（尤指画家）；大师
as	 adv. 同样，一样地 prep.  当做， 作为； 像， 如同
as	 conj. 因为；随着；虽然；依照；当…时 prep. 如同；当作；以…的身份 adv. 同样地；和…一样的
ash	 n. 灰；灰烬
ashamed	 adj. 惭愧的，感到难为情的；耻于……的
aside	 adv. 离开，撇开；在旁边 n. 旁白；私语，悄悄话；离题的话 prep. 在…旁边
ask	 v.  询问， 问； 要求
ask	 v. 问，询问；要求；需要；邀请；讨价 n. (Ask)人名；(芬、瑞典)阿斯克
asleep	 adj.  睡着的， 睡熟的
asleep	 adj. 睡着的；麻木的；长眠的 adv. 熟睡地；进入睡眠状态
aspect	 n. 方面；方向；形势；外貌
assess	 v. 评定；估价；对…征税
assessment	 n. 评定；估价
assist	 n. 帮助；助攻 v. 参加；出席
assistance	 n. 援助，帮助；辅助设备
assistant	 adj.  助理的， 辅助的 n. 助手；助教
assistant	 n. 助手，助理，助教 adj. 辅助的，助理的；有帮助的
associate	 v. 交往；结交 n. 同事，伙伴；关联的事物 adj. 副的；联合的
association	 n.  协会， 联盟， 社团； 联合， 结合
association	 n. 协会，联盟，社团；联合；联想
assume	 v. 假定；设想；承担；采取
assumption	 n. 假定；设想；担任；采取
astonish	 v. 使惊讶
astronaut	 n. 宇航员，航天员；太空旅行者
astronomer	 n. 天文学家
astronomy	 n. 天文学
at	 prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于 n. 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素） abbr. 密封的（airtight）；气温（air temperature）
athlete	 n. 运动员，体育家；身强力壮的人
athletic	 adj. 运动的，运动员的；体格健壮的
athletics	 n. 竞技；体育运动；田径运动
atmosphere	 n. 气氛；大气；空气
atom	 n. 原子
attach	 v. 使依附；贴上；系上；使依恋
attain	 v. 达到，实现；获得；到达 n. 成就
attempt	 n&v.  尝试， 企图； 努力
attempt	 n. 企图，试图；攻击 v. 企图，试图；尝试
attend	 v. 出席；上（大学等）；照料；招待；陪伴
attendant	 adj.  伴随的， 随之而产生的 n. 服务人员，侍者；随从
attention	 n.  注意力， 专心； 关注； 关心； 立正姿势
attention	 n. 注意力；关心；立正！（口令）
attentively	 adv. 注意地；聚精会神地；周到地
attitude	 n.  态度； 看法， 意见
attitude	 n. 态度；看法；意见；姿势
attract	 v. 吸引；引起
attraction	 n. 吸引，吸引力；引力；吸引人的事物
attractive	 adj. 吸引人的；有魅力的；引人注目的
audience	 n. 观众；听众；读者；接见；正式会见；拜会
aunt	 n.  姑姑， 姨妈， 伯母， 婶婶， 舅妈
aunt	 n. 阿姨；姑妈；伯母；舅妈
authentic	 adj. 真正的，真实的；可信的
author	 n.  作家， 作者； 创始人， 发起者
author	 n. 作者；作家；创始人 v. 创作出版
authority	 n. 权力，管辖权；
authority	 n. 权威；权力；当局
